storm_id,storm_name,date,time,record_id,status,lat,lon,wind_kt,pressure_mb
AL122005,KATRINA,20050825,2230,L,HU,26.0,-80.1,70,984
AL122005,KATRINA,20050826,0000,,HU,25.9,-80.3,70,983
AL122005,KATRINA,20050826,0600,,HU,25.4,-81.3,65,987
AL122005,KATRINA,20050826,1200,,HU,25.1,-82.0,75,979
AL122005,KATRINA,20050826,1800,,HU,24.9,-82.6,85,968
AL122005,KATRINA,20050827,0000,,HU,24.6,-83.3,90,959
AL122005,KATRINA,20050827,0600,,HU,24.4,-84.0,95,950
AL122005,KATRINA,20050827,1200,,HU,24.4,-84.7,100,942
AL122005,KATRINA,20050827,1800,,HU,24.5,-85.3,100,948
AL122005,KATRINA,20050828,0000,,HU,24.8,-85.9,100,941
AL122005,KATRINA,20050828,0600,,HU,25.2,-86.7,125,930
AL122005,KATRINA,20050828,1200,,HU,25.7,-87.7,145,909
AL122005,KATRINA,20050828,1800,,HU,26.3,-88.6,150,902
AL122005,KATRINA,20050829,0000,,HU,27.2,-89.2,140,905
AL122005,KATRINA,20050829,0600,,HU,28.2,-89.6,125,913
AL122005,KATRINA,20050829,1110,L,HU,29.3,-89.6,110,920
AL122005,KATRINA,20050829,1200,,HU,29.5,-89.6,110,923
AL122005,KATRINA,20050829,1445,L,HU,30.2,-89.6,105,928
AL122005,KATRINA,20050829,1800,,HU,31.1,-89.6,80,948
AL092021,IDA,20210827,1200,,TS,20.4,-81.7,55,996
AL092021,IDA,20210827,1800,L,HU,21.5,-82.6,70,987
AL092021,IDA,20210827,2325,L,HU,22.4,-83.2,70,988
AL092021,IDA,20210828,0000,,HU,22.6,-83.5,70,989
AL092021,IDA,20210828,0600,,HU,23.5,-84.7,70,987
AL092021,IDA,20210828,1200,,HU,24.4,-85.7,70,986
AL092021,IDA,20210828,1800,,HU,25.6,-86.6,80,976
AL092021,IDA,20210829,0000,,HU,26.7,-87.6,90,967
AL092021,IDA,20210829,0600,,HU,27.6,-88.7,115,950
AL092021,IDA,20210829,1200,,HU,28.5,-89.6,130,929
AL092021,IDA,20210829,1655,L,HU,29.1,-90.2,130,931
AL092021,IDA,20210829,1800,,HU,29.2,-90.4,125,932
AL092021,IDA,20210830,0000,,HU,29.9,-90.6,105,944
AL092021,IDA,20210830,0600,,HU,30.6,-90.8,65,978
AL092021,IDA,20210830,1200,,TS,31.5,-90.9,40,992
AL142018,MICHAEL,20181008,0600,,TS,20.2,-85.4,60,984
AL142018,MICHAEL,20181008,1200,,HU,20.9,-85.1,65,982
AL142018,MICHAEL,20181008,1800,,HU,21.7,-85.1,75,977
AL142018,MICHAEL,20181009,0000,,HU,22.7,-85.2,85,971
AL142018,MICHAEL,20181009,0600,,HU,23.7,-85.8,85,973
AL142018,MICHAEL,20181009,1200,,HU,24.6,-86.2,90,968
AL142018,MICHAEL,20181009,1800,,HU,25.6,-86.4,100,961
AL142018,MICHAEL,20181010,0000,,HU,26.6,-86.5,110,952
AL142018,MICHAEL,20181010,0600,,HU,27.7,-86.6,120,945
AL142018,MICHAEL,20181010,1200,,HU,29.0,-86.3,125,934
AL142018,MICHAEL,20181010,1730,L,HU,30.0,-85.5,140,919
AL142018,MICHAEL,20181010,1800,,HU,30.2,-85.4,135,920
AL142018,MICHAEL,20181011,0000,,HU,31.5,-84.5,80,957
