name,lat,lon,pop2023
Atlanta,33.76286941921464,-84.42210269322722,510823.0
Columbus,32.51001682935617,-84.87705237789706,201877.0
Augusta-Richmond County consolidated government (balance),33.36448356768117,-82.07082786153515,200884.0
Macon-Bibb County,32.8064963501934,-83.69741779915184,156512.0
Savannah,32.02837522929442,-81.18219504240189,147748.0
Athens-Clarke County unified government (balance),33.950891657580875,-83.36893942637352,128628.0
South Fulton,33.635891300353705,-84.57976630867824,110920.0
Sandy Springs,33.93656641921633,-84.37037936838529,105793.0
Roswell,34.03915590913475,-84.35122337705431,91706.0
Warner Robins,32.59545715323835,-83.65254820573415,84537.0
Johns Creek,34.03333065495438,-84.20268850575262,81108.0
Alpharetta,34.07039586692962,-84.27381334428813,67056.0
Albany,31.577585645692814,-84.17621603308898,66877.0
Marietta,33.95324950882657,-84.54223162653624,62769.0
Stonecrest,33.684189816891816,-84.13717965423903,60677.0
Brookhaven,33.8718071488794,-84.331842858214,57945.0
Smyrna,33.86295117698358,-84.51679530232119,56566.0
Valdosta,30.85018647808143,-83.27887258498473,55025.0
Dunwoody,33.94185674661341,-84.3121906790169,51713.0
Gainesville,34.29023245862322,-83.82917761870864,47265.0
Newnan,33.37650621936459,-84.77563305059459,44940.0
Peachtree Corners,33.966933314326035,-84.2319184378223,42136.0
Milton,34.13531199569436,-84.31382150756001,41383.0
Peachtree City,33.39419222304724,-84.57100364420721,40193.0
Douglasville,33.73847927790799,-84.70521409137595,39049.0
Woodstock,34.10254322979818,-84.50749687688868,38473.0
East Point,33.669611548395075,-84.47009350855983,38115.0
Rome,34.26589575836041,-85.18604084003984,38111.0
Tucker,33.84362139935669,-84.20241291681194,36975.0
Canton,34.24697207561713,-84.49021903442689,36857.0
Hinesville,31.824800048354845,-81.61363520291474,36181.0
Stockbridge,33.52968645946288,-84.23441383564013,35452.0
Kennesaw,34.02586266065248,-84.61764330106725,34683.0
Dalton,34.76919402913562,-84.97181088888821,34508.0
Statesboro,32.43746027863475,-81.77510311456217,34452.0
Duluth,34.00503165188941,-84.14927366026396,32350.0
LaGrange,33.02747120955925,-85.03839819886088,32343.0
McDonough,33.441028350395094,-84.14972912208509,32138.0
Chamblee,33.88421814306071,-84.3007455238142,31841.0
Lawrenceville,33.95236411775777,-83.99353640114364,31015.0
Pooler,32.1042264995623,-81.25682192684441,29544.0
Union City,33.59416275651013,-84.56286792900843,27832.0
Carrollton,33.581650063815744,-85.08390899198187,27793.0
Sugar Hill,34.10802043264533,-84.05595838624848,25889.0
Cartersville,34.164572769915615,-84.80091086248817,24937.0
Decatur,33.771020267567195,-84.29627737182047,24307.0
Griffin,33.24185294117853,-84.27461607226823,24044.0
Perry,32.47208169578416,-83.72792620857851,24029.0
Suwanee,34.050823416403325,-84.06857066978917,22913.0
Acworth,34.056734112184245,-84.67128549557741,22379.0
Snellville,33.85627536223845,-84.00376365942165,22067.0
Kingsland,30.819446846751248,-81.72163152026522,20343.0
Fayetteville,33.45004085008223,-84.47103346634073,20083.0
Winder,33.99162285111074,-83.72230936821084,19669.0
Holly Springs,34.16807531918283,-84.4847349667169,19540.0
St. Marys,30.75588945559732,-81.57213301233377,19537.0
Conyers,33.66451089953785,-83.99667523679294,19505.0
Forest Park,33.621023145100914,-84.35874396687454,19368.0
Powder Springs,33.86499953519463,-84.6839133716641,18950.0
Calhoun,34.49019422904919,-84.93807155701373,18900.0
Villa Rica,33.72936846396131,-84.91763701822583,18703.0
Thomasville,30.83936095499233,-83.97819703734989,18558.0
Richmond Hill,31.901139472177533,-81.31280159010954,18459.0
Buford,34.1190088213141,-83.9901131595212,18273.0
Norcross,33.9378629778388,-84.20651410055623,18043.0
Grovetown,33.450336538949486,-82.20726449106259,17580.0
Tifton,31.46298279802459,-83.51986533973903,17357.0
Fairburn,33.5496453180666,-84.5914544014293,16661.0
Loganville,33.83524210363782,-83.89586600598045,16516.0
Milledgeville,33.08730364474537,-83.24154155525761,16486.0
Dublin,32.53518055422534,-82.9287126973077,16008.0
Monroe,33.79904109803129,-83.71605563148482,15929.0
Lilburn,33.88956167257361,-84.13650401088665,15862.0
Jefferson,34.13752598590485,-83.60176708281683,15756.0
Americus,32.073519815348064,-84.22485394815291,15703.0
Braselton,34.10886632434588,-83.81151671623856,15538.0
Brunswick,31.14489985610752,-81.47458386710022,15404.0
Dallas,33.916519858554025,-84.84124673878387,14985.0
Covington,33.60500236514594,-83.8462523519597,14677.0
Riverdale,33.56409703968421,-84.41030160874065,14672.0
Moultrie,31.159079784000568,-83.77077571400204,14565.0
Port Wentworth,32.195138798951916,-81.19908493439208,14468.0
Bainbridge,30.90589243769812,-84.57228794277515,14423.0
Clarkston,33.811608470409155,-84.2403477671948,14396.0
College Park,33.63613160290263,-84.46391632192689,13867.0
Waycross,31.210768548878203,-82.35786899068314,13714.0
Lovejoy,33.442588220986664,-84.317499268667,12080.0
Douglas,31.506480665755248,-82.85432402012387,11769.0
Rincon,32.294626483361625,-81.23524051042467,11624.0
Flowery Branch,34.17099929323358,-83.91452790280387,11607.0
Locust Grove,33.344483459054395,-84.10572937576694,11199.0
Doraville,33.90747017296214,-84.27061721609185,10780.0
Vidalia,32.212543002770936,-82.40187247402712,10741.0
Fort Oglethorpe,34.93177351855259,-85.24607121478347,10598.0
Garden City,32.08674026821258,-81.17725207632331,10373.0
Cedartown,34.02229885407821,-85.2479320164089,10300.0
Jesup,31.59921818790752,-81.88952441751707,10065.0
Cairo,30.879175523906536,-84.2051283016241,10007.0
Thomaston,32.89079947799753,-84.32711497887406,9876.0
Cordele,31.95627537446867,-83.76932613078864,9868.0
Auburn,34.01562963122083,-83.83189344872812,9688.0
Cumming,34.20629647690243,-84.13360626199659,9471.0
Toccoa,34.58131339096824,-83.32649481634986,9303.0
Hampton,33.37768018284348,-84.29905172567165,9162.0
Fitzgerald,31.713414513319623,-83.25147199662116,8942.0
Fort Valley,32.55204402885176,-83.88166337865813,8868.0
Cusseta-Chattahoochee County,32.346982430612535,-84.78702217770362,8661.0
Centerville,32.63596943848128,-83.68544724501864,8470.0
Commerce,34.21481163913318,-83.47436999241944,8287.0
Austell,33.81952899125791,-84.64480247879918,8148.0
Tyrone,33.47516556606052,-84.59415235333128,7949.0
Bremen,33.70855709638405,-85.14953059386514,7712.0
Dacula,33.981482523473595,-83.8946725404668,7650.0
Swainsboro,32.58664075145548,-82.33449740958217,7611.0
Dahlonega,34.53103233423336,-83.98037579192895,7585.0
LaFayette,34.708877653174724,-85.28148078528457,7044.0
Thomson,33.46801236876219,-82.49655995183213,6860.0
Hapeville,33.66086777813279,-84.4093962337728,6691.0
Eatonton,33.325759594436875,-83.38863594057203,6579.0
Stone Mountain,33.80358609167606,-84.17230306593324,6553.0
Oakwood,34.22344898443792,-83.8850288975978,6412.0
Morrow,33.581487495211846,-84.33935477749084,6395.0
Temple,33.734179980606626,-85.02892194231204,6360.0
Barnesville,33.050882918332086,-84.15273013956696,6329.0
Jonesboro,33.52121430534604,-84.35471585137141,6140.0
Byron,32.6475335928794,-83.7540148885514,6132.0
Senoia,33.30823189886499,-84.55461378140248,5929.0
Jackson,33.29192261267989,-83.96779284141067,5854.0
Adel,31.12515979319884,-83.42250918559614,5700.0
Waynesboro,33.090922358982766,-82.01458769945768,5607.0
Eastman,32.19729289898622,-83.1714710416408,5568.0
Sandersville,32.982666243109655,-82.80888785321233,5536.0
Sylvester,31.530039734666424,-83.83379326445089,5436.0
Hoschton,34.0858495028443,-83.76171063910564,5388.0
Hiram,33.87771421897287,-84.77099990339076,5353.0
Social Circle,33.650503068112286,-83.71165148626085,5330.0
Cornelia,34.517010637000794,-83.5311735349165,5309.0
Glennville,31.937858754555464,-81.9305314185838,5245.0
Rockmart,34.00859082366451,-85.04490308574229,5231.0
Blakely,31.382672989337472,-84.92275464931387,5218.0
Camilla,31.233724485866222,-84.20886572031888,5089.0
Adairsville,34.370840667788215,-84.9211417271771,5052.0
Palmetto,33.53101246911373,-84.66769811195012,5021.0
Grayson,33.890335725365844,-83.95772311566274,4975.0
Jasper,34.470851396218904,-84.44961244799305,4970.0
Madison,33.57947672735396,-83.47557490187519,4964.0
Baxley,31.764130081454006,-82.35081992732135,4945.0
Nashville,31.205394630367792,-83.24631114466857,4945.0
Forsyth,33.05111069147827,-83.95660589038317,4901.0
Chatsworth,34.78082052157172,-84.78316358650856,4883.0
Elberton,34.10629553686825,-82.87052243476379,4778.0
McRae-Helena,32.063542696173,-82.8967938336235,4759.0
Cochran,32.387408058721974,-83.35233468831457,4749.0
