name,lat,lon,pop2023
Des Moines,41.5725111027049,-93.61042886330874,210381.0
Cedar Rapids,41.96584596588075,-91.67902866566283,135958.0
Davenport,41.55666382386546,-90.60529367930917,100354.0
Sioux City,42.49567547308361,-96.38958422332901,85727.0
Iowa City,41.655924840830295,-91.53058880606339,75678.0
Ankeny,41.73046921686941,-93.60196676253348,74458.0
West Des Moines,41.55203742017056,-93.78065647096754,72205.0
Waterloo,42.49179959021267,-92.35218117690164,66606.0
Ames,42.02586243942736,-93.62163991153986,65686.0
Council Bluffs,41.236859240476086,-95.85161165583241,62399.0
Dubuque,42.499554807962156,-90.70685967673084,58877.0
Urbandale,41.63898629789193,-93.7813614077602,46729.0
Marion,42.045098108754026,-91.58498996200605,42213.0
Cedar Falls,42.51901633534141,-92.45405921842335,40737.0
Bettendorf,41.565715049176035,-90.47646758273638,39858.0
Waukee,41.59933301560807,-93.88746912975455,31645.0
Marshalltown,42.03427204460569,-92.90673574263293,27574.0
Mason City,43.148711143412825,-93.1996904800018,26906.0
Ottumwa,41.01945638345608,-92.41857382561638,25252.0
Johnston,41.690993395967986,-93.72347242009077,24640.0
Fort Dodge,42.50983593445166,-94.17513374708268,24591.0
Clinton,41.84345163351064,-90.24117757197655,24239.0
Coralville,41.69906441575435,-91.59643391071275,23596.0
Burlington,40.80713262355204,-91.12470713906247,23565.0
Muscatine,41.41958879423197,-91.06798783707903,23341.0
Altoona,41.64814018339365,-93.47798017674552,21698.0
North Liberty,41.74360197000202,-91.61120114609993,21345.0
Clive,41.6147149687738,-93.79798713222749,19005.0
Grimes,41.67862624309562,-93.79483539537843,16362.0
Indianola,41.362940420173025,-93.56553791268661,16043.0
Newton,41.696356168606464,-93.0405229504941,15645.0
Norwalk,41.48918875813841,-93.69133255634748,14873.0
Boone,42.05317296614532,-93.87691850663633,12416.0
Pleasant Hill,41.58777053139806,-93.4940866316015,11617.0
Spencer,43.14677615601621,-95.15339946362026,11451.0
Oskaloosa,41.292116000161776,-92.64029376769737,11448.0
Storm Lake,42.64293421402358,-95.19638743250346,11434.0
Pella,41.40486412140945,-92.91810723314613,10820.0
Le Mars,42.78103755770924,-96.17330695311783,10618.0
Waverly,42.72497742428259,-92.47081176981958,10561.0
Carroll,42.070269068148264,-94.86424449675455,10163.0
Fort Madison,40.62068842794315,-91.35090344950694,10053.0
Keokuk,40.40945081277233,-91.40307867431667,9513.0
Grinnell,41.73593610382105,-92.72439501215244,9473.0
Fairfield,41.0063289995439,-91.96662234379735,9300.0
Bondurant,41.69842560971057,-93.45640742520735,8959.0
Mount Pleasant,40.96249367458689,-91.54517251953632,8581.0
Sioux Center,43.07480743356805,-96.17042270002786,8543.0
Denison,42.01616343291253,-95.3527719404343,8114.0
Perry,41.83828778660886,-94.09238726559566,7984.0
Webster City,42.461914012921255,-93.81785024143886,7713.0
Decorah,43.301172935759936,-91.78396640104083,7578.0
Clear Lake,43.13473617342519,-93.37400565669574,7567.0
Knoxville,41.31884604215733,-93.10238171437382,7432.0
Creston,41.05979430382016,-94.3650001725762,7392.0
Washington,41.297763752796854,-91.69311064813161,7252.0
Charles City,43.06455657903803,-92.67448639376094,7228.0
Hiawatha,42.05481963531925,-91.6912383183672,7219.0
Nevada,42.01883329744351,-93.46530022671257,6967.0
Eldridge,41.63901701000609,-90.58091362603025,6846.0
Atlantic,41.39575608860199,-95.01365888523031,6781.0
Adel,41.61016166264323,-94.01194628096697,6474.0
Orange City,43.00177717770151,-96.05524375677516,6397.0
Tiffin,41.706385865802545,-91.65882945109773,6325.0
Polk City,41.77732205962977,-93.71214856797293,6303.0
Independence,42.46222757863023,-91.90270566006352,6188.0
Maquoketa,42.05901352682319,-90.66494805237573,6051.0
Asbury,42.51196803774924,-90.78013264812118,6007.0
Estherville,43.39971553780958,-94.83418367132337,5823.0
Oelwein,42.671483079836456,-91.91311791266197,5791.0
Anamosa,42.10910418355992,-91.27584278363517,5704.0
DeWitt,41.822716887660384,-90.54474611055248,5587.0
Osceola,41.030384897726364,-93.78396579820378,5568.0
Spirit Lake,43.417606576585754,-95.11139371352454,5533.0
Red Oak,41.01403422352973,-95.22500040783758,5461.0
Sheldon,43.17963532152901,-95.84335054223389,5422.0
Winterset,41.34512579037319,-94.01348046840643,5374.0
Centerville,40.729250208116774,-92.87162162692839,5344.0
Algona,43.07444962121097,-94.23045241461472,5342.0
Clarinda,40.73777397090875,-95.0337342737375,5305.0
Sergeant Bluff,42.39775972484811,-96.35173341606126,5274.0
Manchester,42.48538696912498,-91.4556825551785,5239.0
Glenwood,41.044554017555974,-95.74061962359559,5175.0
Cherokee,42.74976231416649,-95.55288844169046,5167.0
Windsor Heights,41.60448077951053,-93.71272950374323,5067.0
Iowa Falls,42.518986854336724,-93.26621028810841,5002.0
Vinton,42.16312642869974,-92.02598163908188,4951.0
Harlan,41.649504733881095,-95.32680525435453,4891.0
Shenandoah,40.75820286407961,-95.37203977458407,4884.0
Le Claire,41.59632649584171,-90.36858092757888,4744.0
Humboldt,42.72338263654374,-94.22458890379033,4723.0
Huxley,41.89654723985455,-93.59211191716555,4634.0
Dyersville,42.48194252930441,-91.11693282208668,4557.0
Mount Vernon,41.92316394178087,-91.42433093143383,4552.0
Camanche,41.792291370328634,-90.27696160916996,4552.0
Evansdale,42.46349415623,-92.27665670610591,4490.0
Carlisle,41.511848112766216,-93.49495613959013,4326.0
Chariton,41.01750951374931,-93.3096773934549,4280.0
Hampton,42.74196852592285,-93.20499178546244,4272.0
Forest City,43.257055748049574,-93.63662379932175,4272.0
Jefferson,42.0173332003345,-94.379949505437,4100.0
Monticello,42.23034030694037,-91.18613449834676,4056.0
Rock Valley,43.20279335268604,-96.28971100681275,4045.0
Cresco,43.37176361086117,-92.11629865453358,3897.0
Waukon,43.2685514720447,-91.47856374360171,3777.0
Carter Lake,41.288441994694736,-95.91714585635778,3759.0
West Liberty,41.57276353042211,-91.26217893430805,3728.0
Albia,41.0265076523791,-92.80380820069942,3661.0
Emmetsburg,43.11452325086321,-94.67996974673702,3623.0
Eagle Grove,42.66631866980684,-93.90241087780676,3566.0
Osage,43.28273312344821,-92.81130278301745,3537.0
New Hampton,43.05633917692273,-92.31530508401421,3422.0
Story City,42.187079810194646,-93.58586559784868,3388.0
Williamsburg,41.66832726546757,-92.01027459584716,3351.0
Robins,42.08002888113853,-91.67639362584154,3312.0
Milford,43.3336902970447,-95.14732545558688,3309.0
Solon,41.80682818261393,-91.4989544251723,3182.0
West Burlington,40.821618002540795,-91.1754930170434,3161.0
Tipton,41.77012787008664,-91.12827455135783,3054.0
Tama,41.96475577166919,-92.5743191817039,3046.0
Garner,43.09994580194334,-93.60311061339951,3035.0
Wilton,41.58982358374211,-91.02714244005016,2930.0
Fairfax,41.926827935802464,-91.77932418219595,2904.0
Onawa,42.026479145192106,-96.09091662273775,2816.0
Grundy Center,42.363660696941004,-92.77400549116156,2806.0
Madrid,41.875728253455144,-93.82047711489693,2799.0
Bloomfield,40.748693205752666,-92.41735449863512,2772.0
Hudson,42.4321179366632,-92.45228357563218,2772.0
Sibley,43.401506871293336,-95.74304553581655,2761.0
West Branch,41.66612182646287,-91.34412077986259,2754.0
Clarion,42.73195368760033,-93.72982562242939,2745.0
Kalona,41.48739026527043,-91.70183084444005,2739.0
Rock Rapids,43.42727671754242,-96.1661920257178,2706.0
Missouri Valley,41.559334495074076,-95.90266260939913,2656.0
Hawarden,43.0015720072396,-96.48286510597895,2644.0
Mitchellville,41.668471770240814,-93.36615056183014,2617.0
Eldora,42.36053462371975,-93.1013105889351,2589.0
Center Point,42.18459532760508,-91.77985887214433,2549.0
Jesup,42.474545771876876,-92.06560287612315,2537.0
West Union,42.958858834591666,-91.81302993575936,2432.0
Hull,43.18945366039829,-96.1341277266124,2432.0
Postville,43.08417708344731,-91.5676843584036,2415.0
Marengo,41.79610504608322,-92.06751380627637,2404.0
Belmond,42.84642355712209,-93.60842141382106,2399.0
Cascade,42.30182705100938,-91.00467564669613,2385.0
Toledo,41.99018397614107,-92.58033424101924,2383.0
Belle Plaine,41.89533588186641,-92.27506402621249,2340.0
Ely,41.87668505177325,-91.58600484123151,2335.0
Bellevue,42.26243690021365,-90.43179763512553,2320.0
Colfax,41.67959110389701,-93.23947419693108,2262.0
La Porte City,42.31372353674847,-92.19125995997398,2259.0
Lisbon,41.92049211601536,-91.3916031874977,2208.0
Rockwell City,42.39813476517178,-94.62889227174726,2195.0
Atkins,41.994333646673276,-91.85857613009027,2140.0
Peosta,42.44768818085757,-90.84434386588538,2122.0
Lake Mills,43.41691883254297,-93.53145227957837,2115.0
Northwood,43.44408967587289,-93.21595641824855,2048.0
Granger,41.7617808993187,-93.82359669843821,2038.0
Greenfield,41.30580503893798,-94.45925206300662,2033.0
Sumner,42.849797416948896,-92.09694934156431,2031.0
Epworth,42.44652204081214,-90.93139905919134,2024.0
Sac City,42.42163702601315,-94.99780963372,2019.0
Alta,42.671662955302224,-95.3044583289971,2018.0
Wapello,41.17730279977158,-91.18853780451118,2013.0
Monroe,41.518939930276986,-93.103763653125,2010.0
Britt,43.09844667047083,-93.80309559010915,2004.0
Audubon,41.717990212362906,-94.92838253145325,1999.0
Ida Grove,42.34386059512505,-95.47334055463372,1990.0
Sigourney,41.33396452981141,-92.2044148404996,1985.0
Parkersburg,42.57387152019622,-92.77840690501738,1983.0
Lamoni,40.62013854987236,-93.9307843842165,1974.0
Dallas Center,41.68555133169503,-93.98067585001361,1966.0
Ogden,42.03949588986656,-94.02824203329486,1963.0
Denver,42.668319534703805,-92.33501766731116,1946.0
New London,40.92292579283432,-91.40070621106705,1870.0
Stuart,41.50047761260343,-94.318081219964,1855.0
Pocahontas,42.73697577328378,-94.66598944182509,1842.0
Leon,40.740731201039694,-93.75464781634031,1817.0
Durant,41.601157225010816,-90.91385084904823,1815.0
Guttenberg,42.788480810620406,-91.10575369350964,1808.0
Columbus Junction,41.27884928222834,-91.36394781609127,1771.0
Van Meter,41.527249077846804,-93.94132662108586,1725.0
Farley,42.44373346032118,-91.00920417434543,1722.0
Woodbine,41.73574514912589,-95.7112273267899,1718.0
Prairie City,41.59540062324852,-93.23935057965456,1712.0
Pleasantville,41.38677982787964,-93.27306369567533,1690.0
Moville,42.49021560036615,-96.06795605174028,1690.0
Blue Grass,41.51018762928679,-90.76695957776572,1686.0
Remsen,42.81581021556906,-95.97267940688663,1682.0
Avoca,41.4827750977249,-95.33726748424517,1678.0
Lake City,42.26767408748536,-94.7310539191801,1670.0
Reinbeck,42.32252841327202,-92.5942220085981,1665.0
Mediapolis,41.007832538095855,-91.1636128290845,1664.0
Manson,42.52865322888501,-94.54002795122999,1656.0
Urbana,42.22979522647761,-91.88552256802583,1627.0
Mount Ayr,40.714103654994275,-94.23753478704904,1626.0
Slater,41.88072419301398,-93.69116889868978,1600.0
Guthrie Center,41.677919931201515,-94.4991386122412,1579.0
Hartley,43.17905905171461,-95.47676134331734,1570.0
Walcott,41.59892054910423,-90.77446496298573,1549.0
Traer,42.189548841854695,-92.46389869949311,1549.0
Akron,42.82683845376655,-96.55717383168887,1542.0
Ackley,42.551895622830365,-93.05275278046021,1538.0
Corydon,40.75788715470318,-93.3175487591392,1537.0
Oakland,41.311569422973086,-95.39504201939717,1518.0
Wellman,41.46929152593863,-91.83527202571543,1516.0
Palo,42.0643213669934,-91.79911921953494,1505.0
Bedford,40.67113518463784,-94.72397750247896,1503.0
Nashua,42.950309996496955,-92.54172641992648,1503.0
Corning,40.99278098015868,-94.73899705797207,1491.0
Holstein,42.48696846474551,-95.54279460323731,1475.0
Monona,43.04982131046696,-91.3910506438134,1465.0
Brooklyn,41.73202382827094,-92.44499699862564,1464.0
Sanborn,43.18141735683276,-95.65535475640705,1444.0
Montezuma,41.58335829416172,-92.52762334140489,1432.0
Manning,41.90922507039981,-95.06428725709144,1416.0
Earlham,41.494430672603315,-94.12229130861715,1413.0
State Center,42.01482307288616,-93.16527517659036,1392.0
Kingsley,42.5864129583825,-95.96786671733616,1391.0
Lenox,40.88357418844243,-94.55821643849698,1372.0
Woodward,41.85276705905333,-93.92072983848983,1363.0
Walford,41.87987462741343,-91.8305352410751,1355.0
Logan,41.64546319053354,-95.79128518994355,1354.0
Roland,42.16605479791736,-93.503103302674,1354.0
Nora Springs,43.144545582419795,-93.00930906347132,1348.0
Lone Tree,41.48587590771025,-91.42665704928949,1336.0
Gilbert,42.106200940180955,-93.64604747672144,1331.0
Dike,42.46413146593661,-92.6254710555304,1298.0
Shell Rock,42.71256392918346,-92.58157037219897,1272.0
Coon Rapids,41.87471694597852,-94.67848136030528,1268.0
Dysart,42.17206776626758,-92.3090966240133,1261.0
Laurens,42.847535523799785,-94.8479758493745,1249.0
New Sharon,41.470068043872274,-92.65095831771063,1247.0
Alton,42.98765004158837,-96.00939152679494,1243.0
Clarksville,42.77981592190537,-92.66796814718407,1243.0
Central City,42.20231575648844,-91.52474381884441,1241.0
Fayette,42.841745037513824,-91.80376077353071,1240.0
Manly,43.288261128001736,-93.20080391039545,1231.0
Tripoli,42.80832064876464,-92.25782511850626,1202.0
Elkader,42.857450941197115,-91.40283686714257,1197.0
University Heights,41.655028446699,-91.55879251614303,1187.0
Arnolds Park,43.36024013991764,-95.12643174374796,1185.0
Melcher-Dallas,41.22698537966516,-93.24157894270593,1184.0
Jewell Junction,42.31055982853899,-93.63998387027362,1183.0
Buffalo,41.46659367082837,-90.71702249722458,1164.0
St. Ansgar,43.37982408958367,-92.91782849447307,1160.0
Lake Park,43.44675336126392,-95.32619041017112,1158.0
Glidden,42.05787327396148,-94.72655492985454,1150.0
Springville,42.04693833180927,-91.45431574455135,1148.0
Strawberry Point,42.68044760474132,-91.53479688221847,1147.0
Lake View,42.30454571729916,-95.0409220556616,1138.0
Fairbank,42.64003146050053,-92.0477193286856,1128.0
Mapleton,42.1673235594571,-95.79085211928145,1124.0
Villisca,40.92980783472135,-94.98102409529992,1113.0
