name,lat,lon,pop2023
Chicago,41.83752859960562,-87.68657179138694,2664452.0
Aurora,41.7636833950654,-88.2899789519009,177563.0
Joliet,41.51719195676061,-88.14784236976529,150489.0
Naperville,41.748046868651166,-88.16584158397907,150245.0
Rockford,42.25936550393236,-89.06440716487359,146120.0
Elgin,42.03850716064779,-88.32402063558621,113310.0
Springfield,39.77083035739214,-89.65414086926165,112544.0
Peoria,40.752000644483566,-89.6152258527932,110460.0
Champaign,40.11409603670068,-88.2737034272457,89189.0
Waukegan,42.3697382162883,-87.87157107359049,87642.0
Cicero,41.84453561859866,-87.75928350766128,81004.0
Bloomington,40.47565409575369,-88.9702227756349,78587.0
Schaumburg,42.030614249142886,-88.08389952426934,75750.0
Evanston,42.04630441466333,-87.69424143213304,75070.0
Arlington Heights,42.09553491100782,-87.98255036366906,74495.0
Bolingbrook,41.69001528044557,-88.10219868007144,74088.0
Decatur,39.85595878878163,-88.93459847019179,68670.0
Skokie,42.03596127271197,-87.7400067144921,64937.0
Palatine,42.11638188321404,-88.04394446714947,64869.0
Des Plaines,42.03449248943557,-87.90083272292762,58010.0
Orland Park,41.60747212989248,-87.86192070671832,57074.0
Oak Lawn,41.71387924145106,-87.75277065478784,55734.0
Berwyn,41.843334968596515,-87.79092459112603,54414.0
Mount Prospect,42.0640968896219,-87.93751616983575,54298.0
Tinley Park,41.56659977942911,-87.80461779045085,53886.0
Wheaton,41.85608414384322,-88.10844281671756,52938.0
Normal,40.52052349888201,-88.99158774428732,52618.0
Oak Park,41.88716535059883,-87.78993661456141,52055.0
Hoffman Estates,42.06365378356304,-88.14492668006598,50179.0
Downers Grove,41.79490624109825,-88.01712877462069,49706.0
Plainfield,41.62101767347738,-88.22575894059786,47448.0
Glenview,42.083064434123855,-87.82309427565946,46904.0
Elmhurst,41.897351796798446,-87.94322861587713,45336.0
Lombard,41.87399013324474,-88.0155207766312,43779.0
Buffalo Grove,42.167576284189835,-87.96162705542484,42482.0
Moline,41.48214239831583,-90.49206257365122,41965.0
Romeoville,41.631490361550895,-88.09983882275434,40955.0
Crystal Lake,42.233317138928655,-88.33500429277616,40861.0
Belleville,38.516356098626375,-89.9899669722688,40726.0
DeKalb,41.928879540983495,-88.74705977568755,40211.0
Bartlett,41.980371498008694,-88.20709406401618,39992.0
Carol Stream,41.91810438079115,-88.13074342208931,38966.0
Quincy,39.9335896405029,-91.37985481465043,38803.0
Urbana,40.11069818421048,-88.19728735238732,38209.0
Park Ridge,42.01252964209247,-87.84357527403823,37897.0
Streamwood,42.020852658231036,-88.17791393520685,37780.0
Wheeling,42.13076350842818,-87.92399608844029,37725.0
Carpentersville,42.122651351771765,-88.28974152410998,37099.0
Oswego,41.68306026852032,-88.33798984761631,37074.0
Hanover Park,41.98184531697857,-88.14461868697026,36165.0
Rock Island,41.46988787454755,-90.58270061838283,36132.0
Addison,41.93135191785409,-88.00855044388963,35167.0
Calumet City,41.61337630861235,-87.55055511364127,34358.0
Northbrook,42.129227966124375,-87.8352092623179,33977.0
Woodridge,41.7368904933614,-88.04087420148792,33566.0
St. Charles,41.9192807463168,-88.31080442565604,32654.0
Glendale Heights,41.919507439948774,-88.07843437450794,32409.0
O'Fallon,38.59771779910491,-89.91481417184012,31968.0
Mundelein,42.26954650519754,-88.01052204322059,31790.0
Elk Grove Village,42.00620992816475,-87.99238551496032,31350.0
Pekin,40.56784240978611,-89.62502987531441,31126.0
North Chicago,42.31715282652687,-87.85962716520683,30416.0
Highland Park,42.18232311721604,-87.81042182977227,30272.0
Gurnee,42.37084846689255,-87.93915643738445,30193.0
Algonquin,42.16186733373232,-88.31713110639062,30134.0
Niles,42.02784208918934,-87.80991865364913,29513.0
Galesburg,40.950577025036985,-90.37627692046773,29130.0
Lake in the Hills,42.19129643667919,-88.34764587528345,28661.0
Glen Ellyn,41.866586723522545,-88.06274794034881,28347.0
Huntley,42.15908198445512,-88.43260854576913,28269.0
McHenry,42.33857232987026,-88.29297223940227,28251.0
Danville,40.14256657971681,-87.61103820256238,28206.0
Burbank,41.744423201067576,-87.76851738887557,28164.0
New Lenox,41.50950815130549,-87.97027613720881,28047.0
Lansing,41.5648540110705,-87.54626609443358,27713.0
Wilmette,42.07704711343554,-87.72815262515171,27026.0
Granite City,38.72961942122318,-90.12674143586874,26908.0
Round Lake Beach,42.379049204449316,-88.08108776668638,26783.0
Edwardsville,38.79232529329771,-89.98746884934286,26698.0
Vernon Hills,42.234030117443716,-87.96077306942362,26677.0
Lockport,41.590461222623716,-88.02923832594689,26537.0
Batavia,41.84787344081398,-88.31131331238981,26235.0
Oak Forest,41.60541546111051,-87.75273461982982,26199.0
Chicago Heights,41.51007271413774,-87.63453026012321,26184.0
Woodstock,42.3096320834131,-88.4353632898984,25699.0
Belvidere,42.25408040000055,-88.86528526836766,25297.0
West Chicago,41.89596980050188,-88.22533493671263,25116.0
Alton,38.90365278226935,-90.15206471563337,25006.0
Yorkville,41.65619963259636,-88.45073731449733,24693.0
Homer Glen,41.604399507588994,-87.94991714901865,24546.0
South Elgin,41.99040556150646,-88.31361194750916,24277.0
Zion,42.460364165708064,-87.85118733728481,24206.0
Morton Grove,42.04232981396921,-87.78904031099964,24131.0
Westmont,41.79460976550807,-87.97411606134646,23933.0
Collinsville,38.67724126877134,-90.00646906853345,23779.0
Melrose Park,41.90298947018492,-87.8635470536589,23666.0
Kankakee,41.102085198140614,-87.86413252338205,23503.0
Elmwood Park,41.922458070004986,-87.81631445123517,23369.0
Loves Park,42.336427689394334,-88.99750381916891,23335.0
Rolling Meadows,42.074665007692396,-88.02520251367645,23329.0
Lisle,41.791670149864274,-88.0888810250413,23222.0
Freeport,42.28908103958745,-89.63461801172922,23136.0
Maywood,41.87979438536429,-87.84420612647234,22880.0
Machesney Park,42.36666227970296,-89.02655766127705,22630.0
Roselle,41.980884721032425,-88.08606368865965,22508.0
Bloomingdale,41.94965698080773,-88.08946755900686,22298.0
East Peoria,40.67386336399485,-89.54158381996609,22012.0
Montgomery,41.723143497655634,-88.36289323464011,21955.0
Villa Park,41.88641865080197,-87.97792498386715,21727.0
Darien,41.74468608442521,-87.98233616504388,21698.0
Carbondale,37.72223861058883,-89.22382248129132,21592.0
Blue Island,41.65779382593744,-87.6811802400006,21494.0
Geneva,41.88320298425902,-88.32442045303772,21129.0
Grayslake,42.34049751334044,-88.03384976694996,20954.0
Frankfort,41.488837968465994,-87.835889721307,20907.0
East Moline,41.5198738859028,-90.38789090571389,20806.0
Park Forest,41.48172797333321,-87.68676220727299,20763.0
