name,lat,lon,pop2023
Indianapolis city (balance),39.77712709134673,-86.14577844395681,879293.0
Fort Wayne,41.08878321881421,-85.14358966877069,269994.0
Evansville,37.98810749617789,-87.53407649706617,115332.0
Fishers,39.95885142130944,-85.96550106989011,104094.0
South Bend,41.6767040296612,-86.2695210712753,103395.0
Carmel,39.96501532515308,-86.14600696519423,102296.0
Bloomington,39.1636821986674,-86.52571498292035,78840.0
Hammond,41.61677655538136,-87.49092142664433,76193.0
Noblesville,40.03537273177551,-86.00393804430894,73916.0
Lafayette,40.39902051422534,-86.85930175775756,71216.0
Gary,41.59057721306001,-87.34739234850022,67652.0
Greenwood,39.60209127172258,-86.10684890885624,66296.0
Muncie,40.198875311984374,-85.39499388712203,65081.0
Kokomo,40.46397276551312,-86.12770213541131,59890.0
Terre Haute,39.46509799303482,-87.37649646453599,58502.0
Westfield,40.03593006678281,-86.15307883260306,57746.0
Anderson,40.08916362539721,-85.68917800815386,55199.0
Elkhart,41.69186210985713,-85.96272664961405,53484.0
Columbus,39.208910028243615,-85.91903050898424,51522.0
Jeffersonville,38.33756865175754,-85.70258159287168,51235.0
Mishawaka,41.67429407357525,-86.16656489466155,50842.0
Lawrence,39.86736974823317,-85.99043094052612,49235.0
West Lafayette,40.443195718401505,-86.92381937810617,44829.0
Portage,41.58537524104652,-87.17970637219464,38513.0
New Albany,38.30916063370134,-85.823393751883,37329.0
Plainfield,39.69442260331386,-86.37182368185458,37047.0
Merrillville,41.472799598339314,-87.31963196132592,36347.0
Richmond,39.83174257339797,-84.89044230583238,35425.0
Crown Point,41.41232835069993,-87.34708736855674,34884.0
Valparaiso,41.47862490271714,-87.05193424100543,34627.0
Goshen,41.57428988788279,-85.83020392415702,34355.0
Zionsville,39.98974520567193,-86.31818883702822,32534.0
Brownsburg,39.834254987946224,-86.3834302939536,32250.0
Michigan City,41.709157248000295,-86.86906915358026,31659.0
Schererville,41.48627378765888,-87.44360022177445,29657.0
Hobart,41.51393967733635,-87.27292435137247,29408.0
Marion,40.54975376994449,-85.66025751824701,28105.0
Greenfield,39.79361785714471,-85.77381904336777,25920.0
Franklin,39.494924070165254,-86.05056304123539,25908.0
East Chicago,41.64693784701079,-87.45466763983535,25830.0
Avon,39.759695614654625,-86.39321353199198,24231.0
St. John,41.44266032596426,-87.46977038040271,23644.0
Munster,41.54684313940368,-87.50401990749033,23614.0
Highland,41.54831305257562,-87.45876167457186,23525.0
La Porte,41.60622793950033,-86.71343116572682,22486.0
Clarksville,38.32194387524978,-85.76731513993336,22208.0
Seymour,38.9475843559178,-85.89110717940409,21666.0
Shelbyville,39.537274353025055,-85.78180347582058,20609.0
Logansport,40.747159050144425,-86.35196218213342,18233.0
New Castle,39.919207381048054,-85.3696356346011,17329.0
Lebanon,40.030853103099744,-86.4500771957663,17252.0
Huntington,40.881284678382755,-85.50622810041472,16992.0
Jasper,38.393274301502395,-86.940400794406,16781.0
Vincennes,38.67606835401795,-87.50999537981339,16588.0
Crawfordsville,40.04185208696477,-86.89761668120673,16577.0
Frankfort,40.281051786763335,-86.52130229574611,16409.0
Dyer,41.49779923238286,-87.5090111968824,16333.0
Griffith,41.52765377799266,-87.4238923593368,16222.0
Warsaw,41.244509077512596,-85.84609183074122,16097.0
Cedar Lake,41.36921899014174,-87.43836922577344,16068.0
New Haven,41.067731008448916,-85.01768381782381,15974.0
Chesterton,41.59970983090193,-87.0548882158942,14657.0
Beech Grove,39.715695296607464,-86.08705281097437,14422.0
Speedway,39.793696552191285,-86.24808687065173,14157.0
Auburn,41.36763132175726,-85.054922078012,13888.0
Bedford,38.860175447408885,-86.48948704990319,13855.0
Connersville,39.6584711235079,-85.14102413554681,13298.0
Whitestown,39.96883518967535,-86.3625313983058,13049.0
Lake Station,41.57287568831536,-87.25977701091843,13047.0
Washington,38.65857559875936,-87.1590552109121,12513.0
Greensburg,39.35179801537791,-85.5027960302085,12363.0
Madison,38.75812117395883,-85.39735535624717,12208.0
Martinsville,39.41489413998783,-86.43152476789543,11946.0
Yorktown,40.1830206523388,-85.51227973577835,11740.0
Danville,39.75891033895107,-86.5027837149865,11525.0
Huntertown,41.217685216448835,-85.16700210919169,11316.0
McCordsville,39.89668826084964,-85.9188179429446,11273.0
Lowell,41.29050635201085,-87.4194759121184,11239.0
Bargersville,39.54122683986212,-86.20035617848272,11075.0
Plymouth,41.348253128542254,-86.31868388509433,10989.0
Peru,40.75865697247968,-86.07169810223553,10953.0
Bluffton,40.742872642776135,-85.17290572393539,10467.0
Wabash,40.80342631949312,-85.83005279174732,10269.0
Kendallville,41.44395943232219,-85.25771485528095,10239.0
Columbia City,41.16107758169709,-85.4856650452585,10126.0
Sellersburg,38.40241286091514,-85.77028000819654,10058.0
Decatur,40.82861163638393,-84.92771410920166,10020.0
Greencastle,39.64321296603642,-86.84179899732153,9882.0
Mooresville,39.60213713587948,-86.36818562587786,9859.0
Angola,41.64352913232545,-85.00468349253734,9456.0
