year,storm_id,name,max_wind_mph,category,is_major
1900,AL041900,UNNAMED,35,TS,False
1901,AL041901,UNNAMED,75,H1,False
1906,AL061906,UNNAMED,95,H1,False
1907,AL021907,UNNAMED,40,TS,False
1912,AL041912,UNNAMED,65,TS,False
1914,AL011914,UNNAMED,35,TS,False
1916,AL021916,UNNAMED,105,H2,False
1923,AL081923,UNNAMED,50,TS,False
1926,AL071926,UNNAMED,60,TS,False
1955,AL051955,UNNAMED,45,TS,False
1960,AL061960,ETHEL,70,TS,False
1969,AL091969,CAMILLE,150,H4,True
1985,AL051985,ELENA,100,H2,False
1998,AL071998,GEORGES,90,H1,False
2002,AL092002,HANNA,50,TS,False
2005,AL032005,CINDY,45,TS,False
2005,AL122005,KATRINA,105,H2,False
2017,AL162017,NATE,65,TS,False
2018,AL072018,GORDON,60,TS,False
