event_id,year,month,date_start,event_type,county,fips,magnitude,magnitude_type,tor_f_scale,deaths_direct,injuries_direct,damage_property_usd,latitude,longitude
5131031,2000,January,2000-01-03 12:15:00,Tornado,LEFLORE,28083,,,F1,0,0,45000.0,33.63333,-90.36667
5131032,2000,January,2000-01-03 12:20:00,Thunderstorm Wind,LEFLORE,28083,,,,0,0,50000.0,33.5,-90.33333
5131034,2000,January,2000-01-03 13:00:00,Thunderstorm Wind,SUNFLOWER,28133,,,,0,0,2000.0,,
5131033,2000,January,2000-01-03 13:10:00,Thunderstorm Wind,WARREN,28149,,,,0,0,1000.0,32.4,-90.88333
5129620,2000,January,2000-01-03 13:30:00,Tornado,YALOBUSHA,28161,,,F2,0,0,100000.0,34.16667,-89.55
5131036,2000,January,2000-01-03 13:35:00,Thunderstorm Wind,WARREN,28149,,,,0,0,1000.0,32.48333,-90.7
5129728,2000,January,2000-01-03 13:40:00,Tornado,LAFAYETTE,28071,,,F2,0,3,100000.0,34.18333,-89.51667
5131035,2000,January,2000-01-03 13:45:00,Thunderstorm Wind,LEFLORE,28083,,,,0,0,1000.0,33.51667,-90.18333
5129729,2000,January,2000-01-03 14:00:00,Tornado,UNION,28145,,,F3,0,4,250000.0,34.38333,-89.25
5131039,2000,January,2000-01-03 16:30:00,Thunderstorm Wind,SIMPSON,28127,,,,0,0,1000.0,31.8,-89.88333
5131037,2000,January,2000-01-03 17:10:00,Thunderstorm Wind,SMITH,28129,,,,0,0,1000.0,32.06667,-89.53333
5131038,2000,January,2000-01-03 17:14:00,Thunderstorm Wind,SMITH,28129,,,,0,0,1000.0,,
5131040,2000,January,2000-01-03 17:29:00,Tornado,JASPER,28061,,,F2,0,0,125000.0,,
5132822,2000,January,2000-01-03 17:33:00,Tornado,NEWTON,28101,,,F1,0,0,40000.0,,
5132823,2000,January,2000-01-03 18:05:00,Thunderstorm Wind,LAUDERDALE,28075,,,,0,0,3000.0,,
5132066,2000,January,2000-01-03 18:21:00,Tornado,WILKINSON,28157,,,F0,0,0,500.0,31.1,-91.26667
5132067,2000,January,2000-01-03 18:21:00,Thunderstorm Wind,AMITE,28005,,,,0,0,3000.0,31.33333,-90.7
5132924,2000,January,2000-01-03 18:25:00,Thunderstorm Wind,FRANKLIN,28037,,,,0,0,40000.0,31.38333,-90.75
5132824,2000,January,2000-01-03 19:15:00,Thunderstorm Wind,LINCOLN,28085,,,,0,0,35000.0,31.58333,-90.45
5131734,2000,January,2000-01-03 19:35:00,Thunderstorm Wind,JONES,28067,,,,0,0,2000.0,31.7,-89.13333
5132925,2000,January,2000-01-03 19:55:00,Thunderstorm Wind,SIMPSON,28127,,,,0,0,5000.0,31.86667,-89.73333
5131738,2000,January,2000-01-03 20:20:00,Thunderstorm Wind,SMITH,28129,,,,0,0,2000.0,,
5131735,2000,January,2000-01-03 20:45:00,Thunderstorm Wind,COVINGTON,28031,,,,0,0,2000.0,31.61667,-89.61667
5131743,2000,January,2000-01-03 23:20:00,Hail,NESHOBA,28099,1.0,,,0,0,0.0,32.76667,-89.11667
5128036,2000,January,2000-01-04 00:05:00,Thunderstorm Wind,GREENE,28041,50.0,E,,0,0,4000.0,31.15,-88.56667
5133436,2000,January,2000-01-04 01:35:00,Thunderstorm Wind,JACKSON,28059,,,,0,0,1000.0,30.41667,-88.81667
5131739,2000,January,2000-01-09 19:00:00,Thunderstorm Wind,COVINGTON,28031,,,,0,0,1000.0,,
5131740,2000,January,2000-01-09 19:16:00,Hail,JONES,28067,0.88,,,0,0,0.0,,
5131741,2000,January,2000-01-09 21:25:00,Thunderstorm Wind,MARION,28091,,,,0,0,5000.0,31.23333,-89.88333
5131742,2000,January,2000-01-09 21:37:00,Hail,LAMAR,28073,0.88,,,0,0,0.0,31.31667,-89.56667
5131744,2000,January,2000-01-09 23:50:00,Thunderstorm Wind,SCOTT,28123,,,,0,0,2000.0,32.38333,-89.55
5131745,2000,January,2000-01-10 01:05:00,Thunderstorm Wind,LEAKE,28079,,,,0,0,2000.0,,
5128041,2000,January,2000-01-23 18:40:00,Thunderstorm Wind,STONE,28131,50.0,E,,0,0,5000.0,,
5128042,2000,January,2000-01-23 18:40:00,Hail,STONE,28131,0.75,,,0,0,0.0,,
5133798,2000,February,2000-02-13 14:43:00,Hail,DE SOTO,28033,0.75,,,0,0,1000.0,34.96667,-89.81667
5133799,2000,February,2000-02-13 15:20:00,Hail,COAHOMA,28027,2.75,,,0,0,7500.0,34.41667,-90.5
5133800,2000,February,2000-02-13 15:30:00,Hail,TUNICA,28143,0.75,,,0,0,10.0,34.5,-90.45
5141629,2000,February,2000-02-13 15:30:00,Thunderstorm Wind,PEARL RIVER,28109,,,,0,0,2000.0,30.85,-89.51667
5135237,2000,February,2000-02-13 16:55:00,Thunderstorm Wind,HINDS,28049,,,,0,0,2000.0,32.3,-90.46667
