name,lat,lon,pop2023
Las Vegas,36.23335297614044,-115.26543578796432,660929.0
Henderson,36.0064372358283,-115.02844400523526,337305.0
North Las Vegas,36.29004126444427,-115.0840068218874,284771.0
Reno,39.54944482516418,-119.84805799790423,274915.0
Sparks,39.573680513881364,-119.71614001633432,110323.0
Carson City,39.15112298606594,-119.7475846908456,58036.0
Fernley,39.56335302716137,-119.19038904172503,24744.0
Mesquite,36.80315497331818,-114.13303849224,22786.0
Elko,40.83807904029864,-115.76784399299031,20785.0
Boulder City,35.84072860459582,-114.92565499550747,14828.0
Fallon,39.4735808545759,-118.77793057373931,9577.0
Winnemucca,40.96441365899412,-117.72461075981593,8261.0
West Wendover,40.74068977234584,-114.07833970688476,4499.0
Ely,39.2649193774574,-114.87085611747509,3907.0
Yerington,38.95545604169591,-119.1101695110225,3194.0
Carlin,40.719037513464265,-116.10804946432795,1990.0
Lovelock,40.178740255872405,-118.47749516788564,1799.0
Wells,41.11317714394252,-114.95353032763532,1244.0
