name,lat,lon,pop2023
Salt Lake City,40.777212183567556,-111.93049574294601,209593.0
West Valley City,40.68854930534244,-112.01225830409307,134470.0
West Jordan,40.6026466646718,-112.00127237407291,114908.0
Provo,40.245729973878404,-111.64572528743642,113343.0
St. George,37.076558881016844,-113.57662305096714,104578.0
Orem,40.29810146749042,-111.69946889726768,95519.0
Sandy,40.57102871004904,-111.85040382282507,91943.0
Lehi,40.41572249531623,-111.87072116226305,90227.0
Ogden,41.22785878525979,-111.96821333049284,87267.0
South Jordan,40.55705658865692,-111.97838081896762,84528.0
Layton,41.07690655266495,-111.96217098484793,83516.0
Millcreek,40.68898212463849,-111.82943930960715,62205.0
Herriman,40.491757554382225,-112.02035286224401,60049.0
Taylorsville,40.65694175024439,-111.9493223357298,57098.0
Eagle Mountain,40.31433333747087,-112.01171094872879,56932.0
Logan,41.73950285238338,-111.84248370572233,55250.0
Saratoga Springs,40.34459785282107,-111.9156987431302,52532.0
Draper,40.49818652646781,-111.86168028126332,49602.0
Murray,40.649793716635514,-111.88751376844516,49553.0
Spanish Fork,40.11044341966556,-111.64116907156213,45557.0
Riverton,40.51762560062925,-111.96350697256035,44854.0
Bountiful,40.87214554108638,-111.8646853117022,44144.0
Cedar City,37.68374100188401,-113.09551614251681,39942.0
Tooele,40.53934899494381,-112.30824648265659,39263.0
Roy,41.17146622439127,-112.0484859801704,38592.0
American Fork,40.378199772707696,-111.79543865605149,38549.0
Kearns,40.65194797172927,-112.00938043372298,37767.0
Pleasant Grove,40.37144143141986,-111.74128188284453,37294.0
Syracuse,41.08592513947979,-112.06982900315074,37022.0
Midvale,40.6147160104989,-111.8928163382603,35561.0
Springville,40.16378647170202,-111.6204921503718,35471.0
Clearfield,41.10297731782399,-112.02371913192107,34470.0
Washington,37.12670721591617,-113.48777680804325,33877.0
Kaysville,41.029020714806386,-111.94551817950948,32941.0
Cottonwood Heights,40.613665137271646,-111.81449412466831,32204.0
Holladay,40.659930724275895,-111.82273574134149,30298.0
Magna,40.763366923137916,-112.15985606871479,30087.0
South Salt Lake,40.70565086784398,-111.8986392430079,26122.0
Farmington,40.984570227767435,-111.90645759701647,25771.0
Payson,40.03548849199378,-111.73898132138027,24054.0
West Haven,41.20828262507995,-112.05452903229681,24014.0
Hurricane,37.1487708060845,-113.3516372884285,23959.0
Clinton,41.13950727212934,-112.0655541120361,23588.0
North Salt Lake,40.84401351527972,-111.91839945146543,23560.0
North Ogden,41.312234414018484,-111.95843768251568,22233.0
Highland,40.42761302263468,-111.79553420551167,20217.0
Brigham City,41.50347006573575,-112.04539426494044,19970.0
Bluffdale,40.474346896538236,-111.93811841447939,19090.0
Heber,40.54179537306457,-111.38742723267093,18533.0
South Ogden,41.17224337167603,-111.95773584578146,17678.0
Santaquin,39.9707611548359,-111.7942746084861,17532.0
Centerville,40.928376412407665,-111.88472047383586,16517.0
Grantsville,40.613232477452506,-112.47082116983303,15267.0
Smithfield,41.835471939192374,-111.82752217355387,14726.0
Vineyard,40.30544810146521,-111.75450173479896,14500.0
Mapleton,40.11875313950469,-111.57423066143551,13732.0
West Point,41.122003849743976,-112.09947177380059,12479.0
Tremonton,41.71835354972908,-112.18787007668685,12411.0
Lindon,40.34137489808314,-111.7187505353473,11734.0
North Logan,41.77590743672479,-111.80660645626975,11711.0
Woods Cross,40.87310316771308,-111.91696695226484,11480.0
Pleasant View,41.32484654327584,-112.001068193672,11265.0
Hyrum,41.63239362412515,-111.84450587667932,10849.0
Salem,40.05515678940321,-111.66720964259355,10725.0
